bag,chest,foot,hand,head,neck,ring,waist,weapon
180,Divine Robe,Holy Greaves of Brilliance,Hard Leather Gloves of the Twins,Hood,Pendant,Silver Ring,Plated Belt,Wand
181,Divine Robe,Chain Boots,Linen Gloves,"""Soul Sun"" Crown of Reflection",Amulet,Platinum Ring,Ornate Belt,Scimitar
182,Demon Husk,Shoes,Hard Leather Gloves,Silk Hood,Amulet,Bronze Ring of Perfection,"""Eagle Grasp"" Plated Belt of Protection +1",Quarterstaff
183,Linen Robe,Holy Greaves of the Fox,Studded Leather Gloves,Ornate Helm of Rage,Necklace,Silver Ring,Heavy Belt of the Twins,Warhammer
184,"""Rune Tear"" Studded Leather Armor of Giants",Chain Boots of Brilliance,Ornate Gauntlets,Linen Hood,Amulet,Gold Ring,"""Dusk Glow"" Heavy Belt of Detection",Tome
185,Demon Husk,Leather Boots of Brilliance,Linen Gloves,"""Tempest Bender"" Demon Crown of Titans +1",Necklace,Platinum Ring of the Fox,Studded Leather Belt,Wand of Skill
186,Leather Armor,Linen Shoes,Leather Gloves of Brilliance,Helm,Amulet,Silver Ring,Linen Sash,Tome of the Fox
187,Plate Mail,Demonhide Boots,Wool Gloves,War Cap,Amulet,Bronze Ring,Mesh Belt,Warhammer
188,Chain Mail,Wool Shoes of Skill,Gauntlets,Silk Hood,Necklace of Enlightenment,Platinum Ring,Wool Sash of the Twins,Club
189,Divine Robe,Silk Slippers,Ornate Gauntlets,Cap,Pendant,Platinum Ring,Studded Leather Belt of Rage,"""Vortex Tear"" Wand of the Twins"
190,Hard Leather Armor,Divine Slippers,Chain Gloves of Brilliance,"""Sorrow Bite"" Divine Hood of Anger +1","""Honour Grasp"" Pendant of Skill +1",Platinum Ring,"""Vortex Whisper"" War Belt of Enlightenment",Scimitar
191,Dragonskin Armor of Power,"""Storm Sun"" Linen Shoes of Perfection",Hard Leather Gloves,Great Helm,"""Gloom Grasp"" Pendant of Protection +1","""Cataclysm Grasp"" Platinum Ring of Skill +1",Heavy Belt,Short Sword
192,Silk Robe,Greaves,Chain Gloves,Silk Hood of Skill,Amulet,Bronze Ring,Wool Sash of Anger,Katana
193,Hard Leather Armor,"""Golem Sun"" Divine Slippers of the Fox",Divine Gloves,Great Helm,Necklace,Silver Ring,Leather Belt,Club
194,Shirt,Leather Boots of Perfection,Studded Leather Gloves,Dragon's Crown,"""Armageddon Moon"" Pendant of Rage +1",Platinum Ring,Silk Sash of Rage,"""Corruption Shout"" Grave Wand of Giants +1"
195,Holy Chestplate,Chain Boots,Leather Gloves of Detection,Demon Crown,Amulet,Gold Ring,Demonhide Belt,Scimitar
196,Holy Chestplate,Divine Slippers,Dragonskin Gloves,Demon Crown,Amulet,Gold Ring,Studded Leather Belt,Club of Anger
197,Hard Leather Armor,Demonhide Boots,Chain Gloves,"""Death Root"" War Cap of Giants",Amulet,"""Havoc Root"" Silver Ring of Giants","""Golem Root"" Linen Sash of Protection",Bone Wand
198,Demon Husk,Dragonskin Boots of Titans,Ornate Gauntlets,Hood,Pendant of Titans,Titanium Ring,Mesh Belt,Wand of Vitriol
199,Linen Robe,Hard Leather Boots,Chain Gloves of Anger,Full Helm,Pendant,Gold Ring,"""Oblivion Bender"" Demonhide Belt of Power +1",Grimoire
200,Plate Mail of Fury,Divine Slippers,Dragonskin Gloves,Full Helm of Reflection,Pendant of Power,Gold Ring,Dragonskin Belt,Scimitar of Brilliance
201,Leather Armor,Leather Boots,Demon's Hands,Crown,Necklace,Titanium Ring,Plated Belt of the Twins,Long Sword
202,Ring Mail,"""Maelstrom Sun"" Ornate Greaves of Enlightenment",Holy Gauntlets,"""Armageddon Bite"" Hood of Titans +1",Amulet,Bronze Ring,Heavy Belt,Chronicle
203,Studded Leather Armor,Linen Shoes,Ornate Gauntlets,Leather Cap,Pendant,Gold Ring,Ornate Belt,Book
204,Plate Mail,Shoes,Gloves,"""Brimstone Grasp"" Leather Cap of Rage +1",Necklace of Power,Platinum Ring of Reflection,Hard Leather Belt,Grimoire
205,Shirt,Chain Boots,Holy Gauntlets,Full Helm of Brilliance,Pendant,Bronze Ring,"""Rune Tear"" Studded Leather Belt of Protection",Short Sword
206,Demon Husk,Linen Shoes,Ornate Gauntlets,Helm,Necklace,Gold Ring,Plated Belt,Quarterstaff
207,Dragonskin Armor,Dragonskin Boots of Giants,Hard Leather Gloves,Crown,Pendant,Gold Ring,Demonhide Belt,Grave Wand
208,Leather Armor,Divine Slippers,Demon's Hands,Demon Crown,Necklace of the Twins,Platinum Ring,Plated Belt,Grimoire
209,"""Mind Peak"" Hard Leather Armor of the Fox +1",Leather Boots of Protection,Ornate Gauntlets,Ancient Helm,Necklace,Gold Ring,Mesh Belt,Bone Wand of Anger
210,Demon Husk of Detection,Silk Slippers,Ornate Gauntlets,Ornate Helm,Amulet,Gold Ring,Ornate Belt of Fury,Warhammer
211,Leather Armor,"""Golem Roar"" Heavy Boots of Power",Ornate Gauntlets,Cap of Giants,Pendant,"""Carrion Root"" Platinum Ring of Detection",Brightsilk Sash,Wand
212,Dragonskin Armor of Reflection,Leather Boots of Protection,Gauntlets,Crown,Pendant,Titanium Ring of the Fox,Linen Sash,Grave Wand
213,Leather Armor,"""Pandemonium Bite"" Silk Slippers of Reflection +1",Chain Gloves of Power,Linen Hood,Necklace,Silver Ring of Protection,Studded Leather Belt of Vitriol,Quarterstaff
214,Robe,Holy Greaves,Divine Gloves,Crown,Pendant,Titanium Ring of Brilliance,Demonhide Belt,Bone Wand of Perfection
215,Ornate Chestplate,Silk Slippers,Holy Gauntlets of Vitriol,Hood,Necklace,Gold Ring,Leather Belt,Falchion
216,Studded Leather Armor,Heavy Boots,Gauntlets,Linen Hood of Giants,Amulet,Silver Ring,Mesh Belt,Bone Wand
217,Leather Armor,Silk Slippers,Dragonskin Gloves,Linen Hood,Pendant,Silver Ring,"""Ghoul Whisper"" Linen Sash of Perfection",Grimoire
218,Ornate Chestplate,Linen Shoes,Hard Leather Gloves of the Fox,Cap of Fury,Amulet,Silver Ring,War Belt,Grimoire of Power
219,"""Light's Glow"" Studded Leather Armor of Skill",Shoes,"""Shimmering Peak"" Gloves of Enlightenment +1",Leather Cap,Pendant,Bronze Ring,Sash,"""Grim Moon"" Book of Giants +1"
220,Hard Leather Armor,Linen Shoes,Gauntlets,Hood,Amulet,"""Sorrow Bite"" Bronze Ring of the Fox +1",Ornate Belt,Katana
221,"""Gloom Moon"" Demon Husk of Skill +1",Wool Shoes,Wool Gloves,Divine Hood,Pendant of the Fox,Bronze Ring,Leather Belt of Rage,Mace of Giants
222,Robe of Detection,Linen Shoes of Power,Demon's Hands,"""Behemoth Root"" Linen Hood of the Twins",Necklace of Detection,Platinum Ring,Hard Leather Belt of Rage,Grimoire
223,Shirt,"""Apocalypse Root"" Heavy Boots of the Twins",Leather Gloves of Anger,Linen Hood,Pendant,"""Demon Bender"" Silver Ring of Fury +1",Sash,Falchion of Reflection
224,Robe of Anger,Leather Boots,Dragonskin Gloves,Ancient Helm,Amulet,Platinum Ring,Heavy Belt,Maul
225,Robe,Divine Slippers,Linen Gloves,Ornate Helm,Pendant,Bronze Ring,Brightsilk Sash of Vitriol,Short Sword
226,Ring Mail,Leather Boots,Gloves,Leather Cap,Pendant,Bronze Ring,Leather Belt,Bone Wand of Power
227,Holy Chestplate,Studded Leather Boots,Studded Leather Gloves,Silk Hood,Pendant,Platinum Ring,Demonhide Belt,Tome
228,Robe,Ornate Greaves,Gloves,Ornate Helm,"""Morbid Whisper"" Amulet of Power",Titanium Ring,Hard Leather Belt,Short Sword
229,Ornate Chestplate,Holy Greaves of Vitriol,Holy Gauntlets,Silk Hood of Vitriol,Pendant of Vitriol,Platinum Ring,Sash,Grimoire
230,Demon Husk,Silk Slippers,Chain Gloves of Detection,"""Vortex Whisper"" Crown of Fury",Pendant,Bronze Ring,Leather Belt of Perfection,Mace
231,Plate Mail,Silk Slippers of Giants,"""Pandemonium Bender"" Hard Leather Gloves of Titans +1",Divine Hood,Amulet,Silver Ring of Fury,Silk Sash,Short Sword of Giants
232,Linen Robe of Brilliance,"""Dread Shout"" Greaves of Giants +1",Wool Gloves of Brilliance,Demon Crown,Necklace,Silver Ring,War Belt,Bone Wand
233,Ring Mail,Silk Slippers,Dragonskin Gloves,Linen Hood,Pendant,"""Mind Bender"" Silver Ring of Perfection +1",Leather Belt,Falchion
234,Chain Mail,Ornate Greaves,Leather Gloves,"""Vortex Roar"" Ornate Helm of Titans",Pendant,Gold Ring of Vitriol,Demonhide Belt,Bone Wand
235,"""Maelstrom Root"" Silk Robe of Brilliance",Ornate Greaves,"""Apocalypse Root"" Divine Gloves of the Twins",Helm,Pendant of Enlightenment,Titanium Ring,Ornate Belt,Bone Wand
236,Hard Leather Armor,Linen Shoes,Studded Leather Gloves,Dragon's Crown,Amulet,Platinum Ring,"""Golem Roar"" Brightsilk Sash of Anger",Bone Wand
237,Divine Robe,Dragonskin Boots,Divine Gloves,Linen Hood,Amulet,Platinum Ring,Ornate Belt,Katana of Skill
238,Robe of Fury,Shoes,Wool Gloves,Leather Cap,Amulet of Fury,Bronze Ring,War Belt,Mace
239,Ornate Chestplate of Skill,Hard Leather Boots,"""Honour Bender"" Silk Gloves of Perfection +1",Dragon's Crown,Pendant,Gold Ring,Wool Sash of Brilliance,Scimitar
240,Chain Mail,Greaves,Linen Gloves,Ornate Helm of Vitriol,Amulet of Detection,Platinum Ring,Sash of the Twins,Short Sword of Skill
241,Robe,Studded Leather Boots,Linen Gloves,Cap of the Fox,Amulet,Platinum Ring,Silk Sash,Maul
242,Dragonskin Armor,Chain Boots,Studded Leather Gloves of Brilliance,Cap,Pendant of Detection,Titanium Ring,Sash,Long Sword
243,"""Grim Bender"" Ornate Chestplate of Anger +1","""Death Sun"" Divine Slippers of Perfection",Leather Gloves,War Cap,Amulet of Vitriol,Gold Ring,Sash,Mace of Skill
244,Dragonskin Armor,Studded Leather Boots,Chain Gloves,Crown of Vitriol,Necklace,Titanium Ring of Power,Linen Sash,Long Sword
245,Robe,Ornate Greaves of Brilliance,"""Death Root"" Linen Gloves of Vitriol","""Bramble Roar"" Ornate Helm of Fury",Amulet,Bronze Ring of Titans,Brightsilk Sash of Fury,Warhammer
246,Divine Robe,Dragonskin Boots,Studded Leather Gloves,Leather Cap,Pendant of Skill,Silver Ring,Linen Sash,Maul
247,Demon Husk,Linen Shoes,Linen Gloves,Leather Cap,Amulet,Platinum Ring,Studded Leather Belt,Long Sword
248,Ring Mail,Ornate Greaves,Leather Gloves of Rage,"""Golem Roar"" Crown of Enlightenment",Necklace,Gold Ring,Silk Sash,Long Sword of Power
249,"""Hypnotic Root"" Holy Chestplate of the Twins",Greaves,"""Victory Grasp"" Silk Gloves of Brilliance +1",Cap,Pendant,Silver Ring,Mesh Belt,Long Sword
250,Ornate Chestplate,Linen Shoes,Gloves,Linen Hood of Giants,Pendant,Gold Ring,Linen Sash of Brilliance,Grimoire
251,Silk Robe of Perfection,Studded Leather Boots,Holy Gauntlets,Great Helm,Amulet,Gold Ring,Brightsilk Sash,Wand
252,Ornate Chestplate,Silk Slippers,Demon's Hands,Linen Hood,Necklace,Platinum Ring,Heavy Belt,Book
253,"""Fate Glow"" Chain Mail of Skill",Ornate Greaves of the Fox,Gloves,"""Rune Tear"" Ornate Helm of Detection","""Shimmering Shout"" Pendant of the Twins +1",Bronze Ring,"""Grim Bender"" Plated Belt of Perfection +1","""Pain Sun"" Tome of Fury"
254,Holy Chestplate of Protection,Dragonskin Boots of Perfection,Wool Gloves,Helm,Amulet,Silver Ring,Studded Leather Belt,Ghost Wand
255,Divine Robe,Shoes,Gauntlets,Demon Crown,Amulet,Silver Ring,War Belt,Warhammer of Enlightenment
256,Dragonskin Armor,Shoes of Skill,Studded Leather Gloves of Fury,Linen Hood,Necklace,Silver Ring,Silk Sash,Mace
257,"""Pandemonium Shout"" Ornate Chestplate of Detection +1",Divine Slippers,Demon's Hands,Silk Hood of the Twins,Amulet,Silver Ring,Sash,Scimitar
258,Shirt,Holy Greaves,Gloves,War Cap of Perfection,Amulet,Platinum Ring,Heavy Belt,Grave Wand
259,Holy Chestplate,Chain Boots of Vitriol,Chain Gloves,Dragon's Crown,Pendant,Titanium Ring,Studded Leather Belt,Grave Wand of Giants
260,Dragonskin Armor,Divine Slippers,Dragonskin Gloves of Protection,Crown,"""Rage Grasp"" Pendant of Rage +1","""Apocalypse Root"" Titanium Ring of Brilliance",Hard Leather Belt,Chronicle
261,Chain Mail of Skill,Wool Shoes,Gloves,War Cap of Vitriol,Pendant,Gold Ring,Mesh Belt,Warhammer of Anger
262,Ring Mail of Fury,"""Carrion Whisper"" Heavy Boots of Perfection",Silk Gloves,Silk Hood,Amulet,Bronze Ring,Plated Belt of Giants,Short Sword
263,Robe,Holy Greaves of Titans,Heavy Gloves of Detection,Full Helm of Rage,Amulet,"""Morbid Root"" Platinum Ring of Giants",Leather Belt,Grave Wand
264,Holy Chestplate of Rage,Dragonskin Boots of Detection,"""Blight Grasp"" Demon's Hands of Giants +1",Ancient Helm,Necklace,Bronze Ring,Ornate Belt of Skill,Ghost Wand
265,Divine Robe,Demonhide Boots,Hard Leather Gloves,Dragon's Crown,Amulet of Perfection,Gold Ring,Dragonskin Belt,Bone Wand
266,Ornate Chestplate,Studded Leather Boots,Wool Gloves,"""Hypnotic Sun"" War Cap of Enlightenment","""Carrion Glow"" Amulet of Detection",Titanium Ring,Linen Sash of Enlightenment,Falchion
267,Dragonskin Armor,Holy Greaves,Demon's Hands,Linen Hood,Pendant,Titanium Ring of Protection,"""Dragon Whisper"" Studded Leather Belt of Perfection","""Carrion Whisper"" Ghost Wand of Titans"
268,Robe of Fury,Hard Leather Boots,Silk Gloves,Cap of Rage,Necklace,Titanium Ring,Studded Leather Belt,Wand
269,Plate Mail of Perfection,Linen Shoes of Detection,Dragonskin Gloves,Full Helm,Necklace,Gold Ring,War Belt,Long Sword of Fury
270,Linen Robe,Chain Boots of Fury,Dragonskin Gloves,Great Helm,"""Vengeance Roar"" Amulet of Anger","""Cataclysm Moon"" Platinum Ring of Giants +1",Brightsilk Sash,Grave Wand
271,Silk Robe,Hard Leather Boots,Gauntlets,Great Helm of Vitriol,Necklace,Titanium Ring of Brilliance,Dragonskin Belt of Reflection,Wand
272,Silk Robe,Demonhide Boots of the Twins,Linen Gloves,Hood,Pendant,Gold Ring of Giants,Mesh Belt,Short Sword
273,Holy Chestplate,Wool Shoes,Ornate Gauntlets,Full Helm,Necklace,"""Pain Root"" Titanium Ring of Rage","""Dusk Glow"" Heavy Belt of the Twins",Tome of Power
274,Studded Leather Armor,Leather Boots of Brilliance,Demon's Hands,Helm,Amulet,Silver Ring,Mesh Belt,Ghost Wand
275,Demon Husk,Studded Leather Boots,Gloves,Ornate Helm of Protection,Pendant,Gold Ring of Fury,War Belt,Grave Wand
276,Divine Robe,Leather Boots of Anger,Gloves,Hood,Pendant,Titanium Ring of Fury,Mesh Belt,Chronicle of Skill
277,Ring Mail of Detection,Leather Boots,Demon's Hands,Cap,Pendant of Perfection,Bronze Ring,Wool Sash,"""Sorrow Shout"" Grave Wand of Skill +1"
278,Chain Mail,Chain Boots of Protection,Chain Gloves,"""Woe Shout"" Hood of Giants +1",Pendant,"""Tempest Peak"" Platinum Ring of Fury +1",Wool Sash of Fury,Bone Wand
279,Studded Leather Armor,Heavy Boots,Gloves,Demon Crown,Amulet,Silver Ring,Heavy Belt,Mace
280,Ornate Chestplate of Giants,"""Light's Root"" Ornate Greaves of Vitriol",Dragonskin Gloves,War Cap of Protection,Amulet,Titanium Ring,Ornate Belt of Rage,"""Mind Shout"" Grave Wand of Vitriol +1"
281,Plate Mail,"""Eagle Shout"" Demonhide Boots of Rage +1",Dragonskin Gloves of the Twins,Cap,Amulet,Bronze Ring,Ornate Belt,Warhammer of Reflection
282,Shirt,Dragonskin Boots,Chain Gloves,Dragon's Crown,Necklace,Gold Ring,Wool Sash,Bone Wand
283,Linen Robe,Demonhide Boots,Leather Gloves of Reflection,Silk Hood,Pendant,Platinum Ring,War Belt,Mace
284,Leather Armor,Silk Slippers,Demon's Hands,"""Sorrow Grasp"" Divine Hood of Vitriol +1",Pendant,Bronze Ring,Dragonskin Belt,Mace
285,Studded Leather Armor,Greaves,"""Shimmering Peak"" Gauntlets of Titans +1",Silk Hood,Amulet,Bronze Ring,Sash of Giants,Short Sword
286,Dragonskin Armor,Demonhide Boots,Studded Leather Gloves,"""Storm Tear"" Linen Hood of Protection",Amulet,Bronze Ring,Sash,Short Sword of Brilliance
287,Robe,Shoes of Perfection,"""Woe Moon"" Gauntlets of Detection +1",Cap of the Twins,Pendant of the Fox,Titanium Ring of Protection,Leather Belt,Grimoire
288,Ring Mail,Demonhide Boots,Hard Leather Gloves of Reflection,Linen Hood,Necklace of Skill,Platinum Ring,War Belt,Quarterstaff
289,Leather Armor,Heavy Boots,Chain Gloves,Hood,Pendant,Titanium Ring of Skill,War Belt,Mace
290,Ring Mail,Chain Boots,Gauntlets,Full Helm,Necklace,Bronze Ring,Brightsilk Sash of Perfection,Bone Wand
291,Holy Chestplate of Reflection,Linen Shoes,Silk Gloves of Skill,Hood,Pendant,"""Oblivion Moon"" Gold Ring of Vitriol +1","""Kraken Peak"" Silk Sash of Fury +1",Tome of Titans
292,Demon Husk of Titans,"""Light's Roar"" Studded Leather Boots of Perfection",Leather Gloves,"""Corpse Roar"" Linen Hood of Reflection",Pendant of Giants,Silver Ring,Silk Sash,Mace of Skill
293,Dragonskin Armor,Hard Leather Boots of Titans,Linen Gloves,Silk Hood of Rage,Pendant,"""Maelstrom Root"" Bronze Ring of Skill",Heavy Belt of the Twins,Falchion
294,Shirt of Rage,Silk Slippers of Brilliance,Ornate Gauntlets,"""Kraken Grasp"" Hood of Brilliance +1",Amulet,Silver Ring,Plated Belt,Falchion
295,Hard Leather Armor,Heavy Boots,Linen Gloves,Cap,Pendant,Titanium Ring,Leather Belt,Quarterstaff
296,Shirt,Heavy Boots of Perfection,Hard Leather Gloves,Demon Crown,Pendant,Bronze Ring,War Belt,Chronicle of Detection
297,Hard Leather Armor of Vitriol,Hard Leather Boots,Demon's Hands,Dragon's Crown,Necklace of Enlightenment,Platinum Ring,Ornate Belt,Quarterstaff of Protection
298,Hard Leather Armor,Leather Boots,Ornate Gauntlets,Full Helm of Detection,Pendant,Platinum Ring,Hard Leather Belt,Katana
299,Chain Mail,Holy Greaves,Gauntlets,Hood,Necklace,Platinum Ring of Fury,Demonhide Belt,Chronicle of Giants
300,Plate Mail of Detection,Wool Shoes of Vitriol,Divine Gloves,"""Brimstone Peak"" Divine Hood of Titans +1","""Dread Bender"" Pendant of Titans +1",Bronze Ring,"""Maelstrom Sun"" Linen Sash of Reflection",Club
301,Shirt,Studded Leather Boots,Holy Gauntlets,Ancient Helm,Amulet,Titanium Ring,Wool Sash,Ghost Wand
302,Hard Leather Armor,Heavy Boots,"""Honour Bite"" Hard Leather Gloves of Anger +1",Linen Hood,"""Soul Whisper"" Amulet of Enlightenment",Titanium Ring,War Belt,Katana
303,Ring Mail,Leather Boots,Linen Gloves,Leather Cap,Pendant,Titanium Ring,Mesh Belt,Falchion of Titans
304,Ornate Chestplate of Detection,Ornate Greaves,Dragonskin Gloves,Demon Crown of Protection,Necklace,"""Kraken Peak"" Platinum Ring of the Fox +1",Sash,Short Sword of Detection
305,Hard Leather Armor,Silk Slippers of Power,Heavy Gloves of Detection,Demon Crown,Necklace,Platinum Ring,War Belt,Quarterstaff
306,Ring Mail,Silk Slippers,Studded Leather Gloves,Hood,Pendant,Gold Ring of Vitriol,Silk Sash,Falchion
307,"""Foe Bite"" Ornate Chestplate of Power +1","""Carrion Sun"" Studded Leather Boots of Enlightenment",Divine Gloves,Leather Cap,Pendant,Platinum Ring of the Twins,Wool Sash,"""Dragon Whisper"" Ghost Wand of Reflection"
308,Ring Mail,Wool Shoes,Leather Gloves,Dragon's Crown,Pendant,Silver Ring,"""Pain Whisper"" Brightsilk Sash of Power",Maul
309,Ring Mail,Chain Boots,Wool Gloves of Skill,Full Helm of Brilliance,"""Dragon Glow"" Amulet of Skill",Bronze Ring of Skill,Heavy Belt,"""Corpse Root"" Quarterstaff of Vitriol"
310,Shirt,Demonhide Boots,Wool Gloves of Titans,Divine Hood,Necklace,Gold Ring,Hard Leather Belt,Grave Wand
311,Ornate Chestplate,Dragonskin Boots,Gauntlets,Cap of the Twins,Necklace of Brilliance,Titanium Ring,Studded Leather Belt,Wand
312,Plate Mail,Divine Slippers,Silk Gloves,Linen Hood of Reflection,Amulet of Anger,Titanium Ring,Studded Leather Belt,Quarterstaff
313,Divine Robe of Detection,Greaves of Perfection,"""Tempest Moon"" Demon's Hands of Skill +1",Leather Cap of Fury,Necklace of Protection,Gold Ring,Ornate Belt of Giants,Grave Wand
314,"""Ghoul Roar"" Chain Mail of Reflection",Linen Shoes,Linen Gloves,Hood,Amulet,Bronze Ring,Wool Sash of Giants,Katana
315,Ornate Chestplate,Silk Slippers of Enlightenment,Holy Gauntlets of Power,Ornate Helm,Necklace of Detection,"""Rune Roar"" Gold Ring of Enlightenment",Silk Sash of Brilliance,Ghost Wand
316,"""Corpse Glow"" Shirt of Brilliance",Dragonskin Boots of Anger,Linen Gloves,Crown,Pendant,Silver Ring,Plated Belt of Enlightenment,Quarterstaff
317,"""Pandemonium Peak"" Ornate Chestplate of Fury +1",Hard Leather Boots,Divine Gloves,Divine Hood,Amulet,Titanium Ring,Mesh Belt of Rage,Mace of Detection
318,Robe,Silk Slippers,Dragonskin Gloves,Cap,Amulet,Gold Ring,Sash of Rage,Mace
319,Holy Chestplate,Demonhide Boots,Silk Gloves,Ornate Helm,"""Mind Bender"" Pendant of Power +1",Silver Ring of Fury,Brightsilk Sash,Bone Wand
320,Chain Mail,Divine Slippers,Linen Gloves,Helm of Brilliance,"""Pandemonium Bender"" Pendant of the Fox +1",Bronze Ring of Power,Dragonskin Belt,Grave Wand
321,"""Shimmering Shout"" Ornate Chestplate of Brilliance +1","""Skull Peak"" Hard Leather Boots of the Fox +1",Wool Gloves,Divine Hood,Amulet,Bronze Ring,War Belt of Protection,Warhammer
322,Studded Leather Armor,Leather Boots,Dragonskin Gloves,Hood,"""Ghoul Sun"" Amulet of Anger",Bronze Ring,Wool Sash,Ghost Wand
323,Divine Robe of Giants,"""Soul Tear"" Studded Leather Boots of Vitriol",Dragonskin Gloves of Vitriol,Silk Hood,Pendant,Gold Ring,Demonhide Belt,Tome
324,Chain Mail,Wool Shoes of the Twins,Gloves of Rage,Leather Cap of Detection,Pendant,Platinum Ring,Demonhide Belt,Katana
325,Dragonskin Armor,Dragonskin Boots,Dragonskin Gloves of Perfection,Cap,Pendant,Platinum Ring,Mesh Belt,Wand
326,Robe,Silk Slippers,Gloves,Leather Cap,Pendant,Titanium Ring,Linen Sash,Long Sword
327,Plate Mail,Holy Greaves,Chain Gloves of Anger,War Cap,Necklace of Perfection,Gold Ring,Ornate Belt,Scimitar
